COUNTY,YEAR,PRODUCTION (Kgs),RAINFALL (mm),ALTITUTDE (M),TEMPERATURE (Degree Celsius)
RWARENE,2004,"116,760",1300,1421,13 - 26
KAGURU,2004,"155,382",1550,1500,14 - 24
KARIA,2004,"316,125",1200,1380,13 - 26
KATHANGENE,2004,"191,122",1300,1343,13 - 26
GITHUNE,2004,"28,943",1300,1457,13 - 25
KIERU,2004,"197,496",1300,1325,13 - 26
NTEMWENE,2004,"107,193",1300,1483,13 - 26
TAAI,2004,"33,495",1400,1564,13 - 25
KATHARE,2004,"99,729",1300,1343,13 - 26
MUTONGA,2004,"93,754",1400,1523,13 - 25
GACHIEGE,2004,"205,511",1300,1500,13 - 25
KIJIJONE,2004,"52,477",1400,1633,13 - 25
KINJO,2004,"386,704",1400,1661,13 - 25
RIJE,2004,"228,935",1400,1697,13 - 25
GITUGU,2004,"255,141",1300,1255,13 - 25
ITHIMA,2004,"174,382",1400,1255,13 - 25
KIAMIRIRU,2004,"122,175",1300,1580,13 - 25
NGONYI,2004,"221,890",1400,1837,13 - 25
NTHUNGU,2004,"1,805",1300,1708,13 - 26
KARINDINE,2004,"153,575",1300,1793,13 - 26
MAGANJO,2004,"166,260",1300,1440,13 - 25
MAURA,2004,"73,077",1400,1543,13 - 24
RWANKWARE,2004,"145,566",1300,1744,13 - 25
GATHIMA,2004,"213,062",1300,1565,13 - 25
GATUBU,2004,"375,087",1300,1590,13 - 25
GITURA,2004,"226,250",1300,1390,13 - 26
IYEGO MAIN,2004,"441,834",1300,1527,13 - 26
KABIRUINI,2004,"52,737",1300,1472,13 - 26
KIRANGANO,2004,"56,349",1300,1390,13 - 26
MARIMIRA,2004,"250,561",1000,1750,13 - 26
MUNUNGA,2004,"120,479",1300,1600,13 - 24
THANGATHI,2004,"103,713",1000,1750,14 - 24
WATUHA,2004,"126,069",1100,1700,13 - 26
GACIRAGO,2004,"442,177",1000,1750,13 - 26
GEITWA,2004,"62,461",1000,1750,13 - 25
ICHANJERU,2004,"170,000",1100,1730,13 - 26
MURIOWANDA,2004,"19,185",1000,1750,13 - 26
WATHENGE,2004,"209,706",1100,1700,13 - 25
GITARO,2004,"22,719",1000,1750,13 - 26
KAHURO,2004,"300,600",1200,1530,13 - 25
KIANJOGU,2004,"168,123",1200,1570,13 - 25
KIBOI,2004,"191,236",1200,1480,13 - 25
MBARI YA HITI,2004,"76,000",1200,1450,13 - 25
MITARAKWA,2004,"72,285",1200,1470,13 - 25
MURICHU,2004,"236,777",1100,1700,13 - 25
RWARO,2004,"68,872",1100,1650,13 - 25
YAMUGWE,2004,"157,485",1100,1630,13 - 25
GATHAMBA,2004,"35,520",1000,1750,13 - 25
GATHINJA,2004,"72,351",1100,1630,13 - 26
KAHUHIA,2004,"85,342",1100,1700,13 - 26
NGUTU,2004,"591,057",1000,1720,13 - 25
KEVOTE,2004,"324,148",1100,1700,13 - 24
KIANJUKI,2004,"301,950",1100,1700,13 - 25
NGAINDETHIA,2004,"254,347",1100,1750,13 - 25
KITHUNGURURU,2004,"614,913",1100,1700,13 - 25
KIVIUVI,2004,"148,669",1100,1750,13 - 26
KITHEGI,2004,"70,990",1100,1650,13 - 26
KITHIMU,2004,"105,281",1500,1590,13 - 26
MINAI,2004,"97,573",1550,1610,13 - 26
KITHANGARIRI,2004,"492,856",1500,1550,13 - 26
GITWARA,2004,"197,804",1600,1600,13 - 24
KIANYANGI,2004,"174,603",1600,1600,13 - 26
NGURWERI,2004,"204,315",1400,1400,13 - 26
GATUNDURI,2004,"286,107",1400,1420,13 - 26
KIHUMBU,2004,"213,483",1500,1430,13 - 26
MIRUNDI,2004,"233,943",1500,1590,13 - 26
THAMBO,2004,"97,746",1550,1610,13 - 26
KIRIMIRI,2004,"129,538",1500,1550,13 - 26
GACHAGORI,2004,"302,143",1600,1600,13 - 26
GACHUNGU,2004,"348,911",1600,1600,13 - 26
GAKWEGORI,2004,"351,638",1500,1590,13 - 26
KIAMICIRI,2005,"49,326",1200,1386,13 - 26
KIANGOTHE,2005,"178,217",1200,1531,13 - 26
KIMANDI,2005,"214,045",1400,1672,13 - 24
KIRINGA,2005,"220,904",1200,1558,13 - 26
KONYU,2005,"172,818",1200,1581,13 - 26
KANJUU,2005,"50,651",1200,1465,13 - 26
GITUTO,2005,"325,295",1500,1704,13 - 23
KIAMBUI,2005,"353,303",1200,1414,13 - 26
KIUNYU,2005,"549,383",1200,1414,13 - 26
NGUGUINI,2005,"923,905",1200,1383,13 - 26
CHEMA,2005,"441,616",1400,1684,13 - 24
KIAI,2005,,1400,1644,13 - 24
KIANGAI,2005,"460,041",1400,1644,13 - 24
KIANJEGE,2005,"714,743",1550,1446,13 - 26
KIBINGOTI,2005,"313,330",1200,1426,13 - 25
MUKANGU,2005,"684,030",1550,1650,13 - 26
RAGATI,2005,"847,466",1400,1704,13 - 24
THUNGURI,2005,"516,248",1400,1724,13 - 24
MBURI,2005,"235,044",1300,1495,13 - 25
RIANJUE,2005,"261,532",1200,1345,13 - 25
KIAMUTUIRA,2005,"37,076",1200,1560,13 - 25
GIKONGORO,2005,"476,556",1300,1444,13 - 25
GIKUI,2005,"382,679",1400,1628,13 - 24
KUIRI,2005,"277,766",1300,1432,13 - 26
RWARENE,2005,"288,784",1300,1421,13 - 26
KAGURU,2005,"323,177",1550,1500,14 - 24
KARIA,2005,"546,365",1200,1380,13 - 26
KATHANGENE,2005,"341,428",1300,1343,13 - 26
GITHUNE,2005,"52,396",1300,1457,13 - 25
